COUNTRY,SUBBRAND,YEAR,MONTH,SCENARIO,FORECAST,FORECAST_YEAR,AMOUNT
Denmark,Pepsi Max (L3),2024,7,AI_forecast,AI_P06F,2023,2327854.162642287
Great Britain,Lipton (L3),2024,6,AI_forecast,AI_P06F,2023,693190.5565869615
Great Britain,Lipton (L3),2024,7,AI_forecast,AI_P04F,2023,889029.1687062087
Hungary,7up (L3),2024,9,AI_forecast,AI_P12F,2023,2403.156474942848
Spain,Lipton (L3),2024,5,AI_forecast,AI_P05F,2023,12219.846356914873
Netherlands,Lipton (L3),2023,12,AI_forecast,AI_P06F,2023,1698758.710306895
Norway,Lipton (L3),2024,4,AI_forecast,AI_P05F,2023,1511.789767182756
Portugal,7up Free (L3),2023,9,AI_forecast,AI_P06F,2023,124868.14274468768
Great Britain,Pepsi Max (L3),2024,2,AI_forecast,AI_P05F,2023,8967301.150029026
Denmark,7up Free (L3),2024,2,AI_forecast,AI_P06F,2023,15832.40424529552
Spain,Pepsi Max (L3),2023,10,AI_forecast,AI_P07F,2023,141118.72032595918
Hungary,Pepsi Regular (L3),2023,8,AI_forecast,AI_P06F,2023,1412163.6607589864
Hungary,Pepsi Regular (L3),2024,5,AI_forecast,AI_P05F,2023,1538477.293567765
Netherlands,Pepsi Max (L3),2024,2,AI_forecast,AI_P06F,2023,815455.0657591254
Spain,Pepsi Regular (L3),2025,2,AI_forecast,AI_P11F,2023,137619.4558548598
Portugal,7up Free (L3),2024,5,AI_forecast,AI_P12F,2023,143584.0972035348
Hungary,Pepsi Max (L3),2024,8,AI_forecast,AI_P06F,2023,599293.8085138595
Hungary,7up (L3),2024,6,AI_forecast,AI_P11F,2023,0.0
Denmark,Pepsi Regular (L3),2024,7,AI_forecast,AI_P04F,2023,189305.49440184925
Czech,7up (L3),2023,10,AI_forecast,AI_P07F,2023,74611.60209640887
Spain,7up Free (L3),2024,1,AI_forecast,AI_P02F,2023,67393.99935189556
Netherlands,Lipton (L3),2024,2,AI_forecast,AI_P09F,2023,1061578.4098630797
Denmark,7up Free (L3),2025,3,AI_forecast,AI_P10F,2023,23624.43097055721
Hungary,Pepsi Max (L3),2024,1,AI_forecast,AI_P06F,2023,392854.4709513262
Great Britain,Lipton (L3),2024,9,AI_forecast,AI_P06F,2023,653124.3331046876
Czech,Pepsi Max (L3),2023,9,AI_forecast,AI_PF,2023,398493.98820455273
Hungary,7up (L3),2024,8,AI_forecast,AI_P08F,2023,55700.80181101443
Spain,7up Free (L3),2023,12,AI_forecast,AI_P08F,2023,78469.65753519084
Spain,Pepsi Regular (L3),2024,8,AI_forecast,AI_P09F,2023,173701.35175561922
Denmark,7up (L3),2023,9,AI_forecast,AI_P06F,2023,0.0
Norway,Pepsi Max (L3),2024,11,AI_forecast,AI_P07F,2023,3093054.6232475555
Norway,7up Free (L3),2024,3,AI_forecast,AI_P11F,2023,35862.66486743526
Great Britain,Lipton (L3),2024,7,AI_forecast,AI_P10F,2023,789592.576555557
Spain,Pepsi Max (L3),2024,1,AI_forecast,AI_P07F,2023,98341.72852753187
Denmark,Pepsi Regular (L3),2024,1,AI_forecast,AI_P12F,2023,240251.56145399358
Czech,Pepsi Regular (L3),2023,12,AI_forecast,AI_P10F,2023,1234950.9524850384
Netherlands,Lipton (L3),2023,5,AI_forecast,AI_P03F,2023,1987591.4699087013
Norway,Pepsi Regular (L3),2024,9,AI_forecast,AI_P10F,2023,38293.113939022085
Denmark,Mountain Dew (L3),2024,10,AI_forecast,AI_P06F,2023,36393.40054582992
Netherlands,Pepsi Max (L3),2024,5,AI_forecast,AI_P02F,2023,792411.0837932819
Netherlands,Pepsi Max (L3),2024,5,AI_forecast,AI_P07F,2023,886030.523167467
Netherlands,Pepsi Max (L3),2023,6,AI_forecast,AI_P03F,2023,982425.0881156455
Portugal,Pepsi Max (L3),2025,3,AI_forecast,AI_P12F,2023,221108.1411459996
Hungary,Pepsi Max (L3),2023,11,AI_forecast,AI_P11F,2023,389931.386182607
Czech,Mountain Dew (L3),2023,11,AI_forecast,AI_P11F,2023,74319.70604157394
Italy,Pepsi Max (L3),2025,1,AI_forecast,AI_P10F,2023,183285.0016357185
Great Britain,Lipton (L3),2024,4,AI_forecast,AI_P11F,2023,636494.6361588199
Great Britain,Pepsi Regular (L3),2023,5,AI_forecast,AI_PF,2023,1897373.8495448716
Great Britain,Pepsi Regular (L3),2024,2,AI_forecast,AI_P12F,2023,1232661.9339373447
Czech,Pepsi Max (L3),2024,1,AI_forecast,AI_P09F,2023,363624.7869640062
Great Britain,7up Free (L3),2025,2,AI_forecast,AI_P09F,2023,1282022.440991967
Hungary,Pepsi Regular (L3),2023,10,AI_forecast,AI_P06F,2023,1187907.2399893657
Great Britain,7up (L3),2024,9,AI_forecast,AI_P12F,2023,182534.18357963915
Netherlands,Pepsi Max (L3),2023,11,AI_forecast,AI_PF,2023,682285.5899282028
Netherlands,Pepsi Max (L3),2023,8,AI_forecast,AI_P04F,2023,868304.3804241047
Norway,7up (L3),2023,10,AI_forecast,AI_P05F,2023,1945.7034365442314
Norway,Pepsi Max (L3),2023,11,AI_forecast,AI_P08F,2023,2275893.8997557233
Hungary,Lipton (L3),2024,10,AI_forecast,AI_P07F,2023,299473.88047068863
Portugal,7up Free (L3),2023,3,AI_forecast,AI_PF,2023,103465.02684056353
Denmark,Pepsi Max (L3),2024,4,AI_forecast,AI_P06F,2023,2378745.475154823
Hungary,Pepsi Regular (L3),2024,1,AI_forecast,AI_PF,2023,1432552.8206755202
Spain,Pepsi Max (L3),2023,11,AI_forecast,AI_P07F,2023,124329.00168670202
Netherlands,Lipton (L3),2023,5,AI_forecast,AI_P02F,2023,1983750.4149727325
Great Britain,Pepsi Max (L3),2024,1,AI_forecast,AI_PF,2023,8561583.142341156
Denmark,Pepsi Max (L3),2024,1,AI_forecast,AI_P10F,2023,1937319.4426852078
Great Britain,Lipton (L3),2024,11,AI_forecast,AI_P11F,2023,657857.285227587
Netherlands,Pepsi Max (L3),2024,7,AI_forecast,AI_P02F,2023,808471.1231394921
Spain,7up Free (L3),2024,12,AI_forecast,AI_P09F,2023,83009.30885233497
Portugal,Pepsi Regular (L3),2024,2,AI_forecast,AI_P07F,2023,154028.45747329283
Czech,Pepsi Regular (L3),2024,10,AI_forecast,AI_P06F,2023,846791.580129995
Portugal,7up Free (L3),2024,3,AI_forecast,AI_PF,2023,120115.79512838947
Hungary,Pepsi Max (L3),2024,11,AI_forecast,AI_P08F,2023,475113.85633750237
Hungary,Pepsi Max (L3),2025,5,AI_forecast,AI_P12F,2023,418530.1865401772
Portugal,7up (L3),2023,11,AI_forecast,AI_P08F,2023,244210.2249198711
Spain,Pepsi Max (L3),2024,2,AI_forecast,AI_P09F,2023,107132.00416822512
Norway,7up (L3),2023,4,AI_forecast,AI_P03F,2023,5113.784381662883
Great Britain,7up (L3),2025,5,AI_forecast,AI_P12F,2023,20535.10438348657
Czech,Pepsi Regular (L3),2023,10,AI_forecast,AI_P03F,2023,930295.4742251767
Czech,Pepsi Regular (L3),2023,11,AI_forecast,AI_PF,2023,945188.5145523901
Portugal,Pepsi Max (L3),2023,6,AI_forecast,AI_P03F,2023,195136.89621011424
Hungary,Pepsi Max (L3),2023,10,AI_forecast,AI_P07F,2023,488449.5116515271
Denmark,Pepsi Max (L3),2024,8,AI_forecast,AI_P11F,2023,2457902.8108565076
Hungary,Pepsi Regular (L3),2024,2,AI_forecast,AI_P07F,2023,1014093.398717164
Great Britain,7up (L3),2025,2,AI_forecast,AI_P11F,2023,0.0
Great Britain,7up (L3),2023,7,AI_forecast,AI_P06F,2023,258852.6574807698
Great Britain,7up (L3),2024,9,AI_forecast,AI_P09F,2023,149019.78746037628
Hungary,Lipton (L3),2023,12,AI_forecast,AI_P09F,2023,232024.50782444532
Norway,Pepsi Regular (L3),2024,3,AI_forecast,AI_P09F,2023,33793.80970931954
Hungary,Lipton (L3),2024,6,AI_forecast,AI_P02F,2023,352348.0488471355
Netherlands,Pepsi Regular (L3),2023,4,AI_forecast,AI_PF,2023,499567.8609542994
Hungary,Pepsi Max (L3),2024,12,AI_forecast,AI_P08F,2023,418494.75555847515
Italy,Pepsi Max (L3),2023,8,AI_forecast,AI_P05F,2023,186733.26365169213
Great Britain,Mountain Dew (L3),2023,12,AI_forecast,AI_P09F,2023,159922.08185765304
Hungary,Pepsi Max (L3),2024,7,AI_forecast,AI_P11F,2023,429897.0747857399
Great Britain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P11F,2023,1644801.595767741
Great Britain,Mountain Dew (L3),2024,6,AI_forecast,AI_P02F,2023,155506.8146867686
Spain,Pepsi Max (L3),2023,7,AI_forecast,AI_P05F,2023,155017.2355882723
Spain,Pepsi Max (L3),2024,5,AI_forecast,AI_P09F,2023,134564.90255661728
Norway,7up (L3),2023,4,AI_forecast,AI_P04F,2023,4631.558996633734
Spain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P09F,2023,156544.88406468928
Netherlands,7up (L3),2023,3,AI_forecast,AI_P02F,2023,118053.59484513086
Portugal,Pepsi Max (L3),2024,8,AI_forecast,AI_P09F,2023,266268.9492591962
Hungary,Pepsi Max (L3),2024,5,AI_forecast,AI_P04F,2023,461718.0916745819
Great Britain,Lipton (L3),2023,12,AI_forecast,AI_P03F,2023,652534.6461931653
Czech,Mountain Dew (L3),2023,12,AI_forecast,AI_P07F,2023,87863.52250958633
Great Britain,Mountain Dew (L3),2023,3,AI_forecast,AI_P02F,2023,210167.6771115818
Spain,7up Free (L3),2024,7,AI_forecast,AI_P12F,2023,86121.87124242412
Spain,Lipton (L3),2023,10,AI_forecast,AI_P02F,2023,8139.370207220293
Great Britain,7up (L3),2024,1,AI_forecast,AI_P02F,2023,201914.09744549726
Netherlands,Lipton (L3),2023,10,AI_forecast,AI_P06F,2023,1702674.1072816695
Spain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P10F,2023,183736.8040462092
Great Britain,Lipton (L3),2024,6,AI_forecast,AI_P03F,2023,815616.4958863319
Hungary,Mountain Dew (L3),2023,7,AI_forecast,AI_PF,2023,48354.446162131724
Great Britain,Lipton (L3),2025,1,AI_forecast,AI_P09F,2023,673323.7546195921
Spain,Pepsi Max (L3),2023,5,AI_forecast,AI_P05F,2023,65153.6543177359
Great Britain,7up Free (L3),2023,11,AI_forecast,AI_P03F,2023,1448150.5935723847
Great Britain,7up Free (L3),2024,11,AI_forecast,AI_P09F,2023,1416087.148269243
Great Britain,7up Free (L3),2024,8,AI_forecast,AI_P10F,2023,1012363.719221638
Denmark,Pepsi Regular (L3),2023,12,AI_forecast,AI_P09F,2023,384754.09299371205
Netherlands,Mountain Dew (L3),2025,3,AI_forecast,AI_P12F,2023,0.0
Norway,Pepsi Max (L3),2024,4,AI_forecast,AI_P11F,2023,2223064.416972077
Norway,Pepsi Max (L3),2023,4,AI_forecast,AI_P04F,2023,2473915.203062139
Portugal,Pepsi Regular (L3),2023,11,AI_forecast,AI_P11F,2023,174708.20842490264
Netherlands,Lipton (L3),2023,6,AI_forecast,AI_P05F,2023,2428376.662538158
Netherlands,Lipton (L3),2023,5,AI_forecast,AI_P03F,2023,2025724.9235600794
Denmark,Mountain Dew (L3),2023,12,AI_forecast,AI_P09F,2023,98328.81552084323
Hungary,Pepsi Max (L3),2023,12,AI_forecast,AI_P10F,2023,488649.43600655603
Great Britain,Pepsi Max (L3),2025,2,AI_forecast,AI_P12F,2023,8441982.68453162
Hungary,Pepsi Max (L3),2024,7,AI_forecast,AI_P02F,2023,661896.4963963607
Hungary,7up Free (L3),2024,7,AI_forecast,AI_P11F,2023,4566084.135078066
Great Britain,7up Free (L3),2023,9,AI_forecast,AI_P09F,2023,1258928.205686921
Great Britain,7up (L3),2024,1,AI_forecast,AI_P11F,2023,186233.6681223486
Great Britain,7up (L3),2024,8,AI_forecast,AI_P05F,2023,106074.61611168715
Netherlands,Pepsi Max (L3),2024,1,AI_forecast,AI_P03F,2023,805674.2125091973
Spain,Lipton (L3),2024,11,AI_forecast,AI_P09F,2023,12852.194449699216
Czech,7up (L3),2023,7,AI_forecast,AI_P07F,2023,110429.54425188707
Denmark,7up (L3),2024,1,AI_forecast,AI_P04F,2023,0.0
Portugal,Pepsi Max (L3),2023,12,AI_forecast,AI_P02F,2023,193758.63738638972
Spain,7up (L3),2023,9,AI_forecast,AI_P08F,2023,97152.3082271685
Hungary,Pepsi Max (L3),2024,1,AI_forecast,AI_P07F,2023,426323.3649984177
Hungary,Pepsi Max (L3),2024,3,AI_forecast,AI_P09F,2023,471716.01195882645
Portugal,7up (L3),2023,12,AI_forecast,AI_P06F,2023,300576.234480478
Great Britain,Mountain Dew (L3),2025,5,AI_forecast,AI_P12F,2023,172858.83804135368
Denmark,Pepsi Regular (L3),2024,2,AI_forecast,AI_P11F,2023,191372.72091577714
Denmark,Pepsi Max (L3),2025,2,AI_forecast,AI_P11F,2023,2049792.7594609552
Italy,Pepsi Regular (L3),2024,10,AI_forecast,AI_P08F,2023,1782111.4644485996
Great Britain,7up Free (L3),2024,1,AI_forecast,AI_P05F,2023,1204341.7461992316
Netherlands,Pepsi Max (L3),2023,10,AI_forecast,AI_P08F,2023,1001599.8524924978
Netherlands,Pepsi Max (L3),2024,12,AI_forecast,AI_P12F,2023,887522.4281046041
Portugal,Pepsi Max (L3),2023,10,actual,null,null,188594.89408466185
Portugal,7up (L3),2023,3,actual,null,null,293497.1117200764
Portugal,7up (L3),2023,10,actual,null,null,348446.58091058314
Great Britain,7up Free (L3),2023,10,actual,null,null,1172553.4686832966
Norway,Pepsi Regular (L3),2023,10,actual,null,null,37848.59296386832
Norway,Pepsi Regular (L3),2023,3,actual,null,null,45879.58157101294
Netherlands,7up (L3),2023,10,actual,null,null,140721.0555606433
Great Britain,7up Free (L3),2023,11,AI_forecast,AI_P05F,2023,1119590.8817078467
Spain,Pepsi Max (L3),2024,11,AI_forecast,AI_P08F,2023,97413.48446066643
Spain,Pepsi Max (L3),2024,6,AI_forecast,AI_P07F,2023,89608.975755027
Netherlands,7up Free (L3),2023,5,AI_forecast,AI_P03F,2023,122095.41842180297
Netherlands,Pepsi Max (L3),2024,11,AI_forecast,AI_P10F,2023,838420.0290197814
Norway,Mountain Dew (L3),2024,11,AI_forecast,AI_P07F,2023,0.0
Spain,Pepsi Regular (L3),2024,9,AI_forecast,AI_P07F,2023,136372.49769415037
Spain,Pepsi Regular (L3),2024,6,AI_forecast,AI_P07F,2023,194970.8492367681
Portugal,Lipton (L3),2023,10,actual,null,null,1206886.222904764
Great Britain,Lipton (L3),2023,10,actual,null,null,642688.8624756082
Hungary,Pepsi Regular (L3),2023,3,actual,null,null,1042737.081991927
Netherlands,7up Free (L3),2023,10,actual,null,null,132014.3991321071
Spain,7up Free (L3),2023,10,actual,null,null,83196.89587639924
Denmark,Mountain Dew (L3),2024,4,AI_forecast,AI_P08F,2023,40059.898355487385
Great Britain,Pepsi Max (L3),2023,11,AI_forecast,AI_P04F,2023,1.1334980847789623E7
Czech,Mountain Dew (L3),2025,2,AI_forecast,AI_P10F,2023,81935.51269870577
Denmark,Pepsi Max (L3),2025,2,AI_forecast,AI_P10F,2023,3402963.1033610166
Czech,Mountain Dew (L3),2023,5,AI_forecast,AI_P05F,2023,76717.61673748569
Portugal,7up (L3),2023,7,AI_forecast,AI_P03F,2023,549227.282898173
Great Britain,7up Free (L3),2025,1,AI_forecast,AI_P12F,2023,261562.07199203677
Netherlands,Lipton (L3),2024,6,AI_forecast,AI_P05F,2023,2527575.3277366622
Denmark,Mountain Dew (L3),2025,2,AI_forecast,AI_P09F,2023,57858.495006327554
Denmark,7up Free (L3),2023,7,AI_forecast,AI_P03F,2023,16253.72390556092
Great Britain,Pepsi Max (L3),2024,10,AI_forecast,AI_P11F,2023,1.0166950425894424E7
Hungary,Mountain Dew (L3),2025,2,AI_forecast,AI_P10F,2023,28047.024604496808
Great Britain,7up Free (L3),2024,2,AI_forecast,AI_PF,2023,940229.9715556517
Netherlands,Pepsi Max (L3),2024,6,AI_forecast,AI_P12F,2023,1132602.930824056
Spain,7up Free (L3),2024,10,AI_forecast,AI_P11F,2023,87728.33873461543
Netherlands,Lipton (L3),2024,4,AI_forecast,AI_P03F,2023,1457860.7192931194
Czech,Pepsi Regular (L3),2023,10,AI_forecast,AI_P06F,2023,904146.0313416688
